iter	Passed	Remaining
191	851	3585
192	856	3580
193	859	3572
194	864	3567
195	868	3563
196	871	3551
197	874	3542
198	877	3532
199	881	3525
200	884	3517
201	888	3508
202	893	3507
203	897	3500
204	900	3490
205	902	3480
206	907	3477
207	911	3471
208	915	3464
209	918	3457
210	922	3450
211	925	3439
212	928	3431
213	933	3429
214	937	3421
215	940	3413
216	943	3404
217	946	3396
218	949	3387
219	952	3378
220	955	3369
221	959	3360
222	961	3351
223	964	3342
224	967	3332
225	970	3324
226	975	3322
227	978	3312
228	981	3305
229	984	3295
230	989	3292
231	991	3283
232	994	3275
233	997	3266
234	1002	3263
235	1006	3257
236	1009	3249
237	1012	3240
238	1017	3238
239	1019	3229
240	1023	3222
241	1026	3214
242	1029	3206
243	1034	3204
244	1037	3197
245	1040	3189
246	1043	3182
247	1047	3174
248	1050	3167
249	1053	3159
250	1056	3152
251	1059	3143
252	1064	3142
253	1067	3134
254	1070	3126
255	1072	3117
256	1076	3112
257	1079	3105
258	1082	3096
259	1085	3088
260	1090	3088
261	1094	3083
262	1097	3075
263	1100	3068
264	1103	3061
265	1107	3054
266	1108	3042
267	1111	3034
268	1114	3027
269	1118	3025
270	1122	3020
271	1126	3014
272	1129	3007
273	1133	3004
274	1136	2996
275	1139	2989
276	1142	2981
277	1146	2978
278	1149	2970
279	1152	2963
280	1155	2956
281	1158	2949
282	1162	2945
283	1165	2938
284	1168	2931
285	1171	2925
286	1176	2923
287	1179	2916
288	1182	2909
289	1186	2904
290	1191	2902
291	1193	2894
292	1197	2890
293	1201	2884
294	1207	2884
295	1209	2877
296	1212	2869
297	1215	2862
298	1219	2859
299	1223	2854
300	1226	2848
301	1229	2841
302	1232	2834
303	1235	2828
304	1238	2822
305	1241	2815
306	1244	2809
307	1249	2806
308	1252	2801
309	1255	2795
310	1258	2789
311	1263	2786
312	1266	2779
313	1268	2772
314	1272	2766
315	1275	2760
316	1277	2753
317	1281	2747
318	1283	2740
319	1287	2736
320	1292	2734
321	1296	2729
322	1299	2722
323	1301	2715
324	1306	2713
325	1309	2707
326	1312	2702
327	1315	2695
328	1319	2691
329	1323	2686
330	1327	2683
331	1330	2677
332	1335	2674
333	1338	2669
334	1342	2664
335	1345	2658
336	1350	2657
337	1354	2652
338	1357	2647
339	1363	2647
340	1366	2641
341	1369	2635
342	1372	2629
343	1375	2623
344	1378	2617
345	1381	2611
346	1384	2606
347	1387	2600
348	1392	2597
349	1394	2590
350	1398	2586
351	1401	2580
352	1405	2576
353	1408	2571
354	1411	2565
355	1415	2560
356	1413	2546
357	1416	2539
358	1419	2534
359	1428	2539
360	1431	2533
361	1434	2527
362	1437	2521
363	1440	2516
364	1442	2510
365	1447	2506
366	1450	2501
367	1452	2495
368	1456	2489
369	1459	2485
370	1462	2480
371	1463	2470
372	1466	2464
373	1471	2463
374	1475	2459
375	1478	2453
376	1481	2448
377	1487	2448
378	1491	2443
379	1494	2438
380	1497	2433
381	1503	2431
382	1506	2426
383	1508	2420
384	1512	2415
385	1515	2411
386	1519	2406
387	1521	2400
388	1524	2394
389	1528	2390
390	1531	2385
391	1534	2379
392	1537	2374
393	1540	2369
394	1543	2364
395	1546	2358
396	1549	2353
397	1551	2347
398	1556	2343
399	1559	2338
400	1562	2333
401	1565	2328
402	1569	2325
403	1572	2319
404	1575	2314
405	1580	2311
406	1581	2303
407	1585	2300
408	1590	2298
409	1593	2293
410	1596	2288
411	1600	2284
412	1600	2274
413	1607	2274
414	1610	2270
415	1610	2260
416	1613	2255
417	1617	2251
418	1625	2253
419	1625	2244
420	1629	2241
421	1632	2236
422	1635	2231
423	1639	2226
424	1642	2222
425	1645	2217
426	1648	2212
427	1652	2207
428	1655	2204
429	1658	2199
430	1661	2193
431	1666	2191
432	1670	2187
433	1672	2181
434	1676	2177
435	1679	2172
436	1683	2168
437	1686	2164
438	1689	2159
439	1692	2154
440	1696	2149
441	1698	2144
442	1701	2138
443	1704	2134
444	1707	2129
445	1712	2127
446	1715	2121
447	1718	2116
448	1720	2111
449	1723	2106
450	1726	2102
451	1730	2097
452	1733	2093
453	1736	2088
454	1740	2084
455	1743	2079
456	1746	2074
457	1748	2069
4458	1771	20884459	1774	20834460	1777	20784461	1780	2073462	1766	2048
463	1769	2044
464	1772	2039
465	1776	2035
466	1779	2030
467	1783	2027
468	1786	2022
469	1795	2024
470	1791	2012
471	1803	2017
472	1806	2012
473	1809	2007
474	1812	2002
475	1814	1997
476	1820	1995
477	1823	1991
478	1826	1986
479	1829	1982
480	1835	1980
481	1838	1975
482	1841	1971
483	1844	1966
484	1848	1963
485	1851	1958
486	1854	1953
487	1857	1949
488	1862	1946
489	1865	1941
490	1868	1937
491	1871	1932
492	1875	1929
493	1879	1925
494	1882	1920
495	1885	1915
496	1887	1910
497	1893	1908
498	1896	1904
499	1899	1899
500	1903	1895
501	1906	1891
502	1909	1886
503	1913	1882
504	1916	1878
505	1921	1875
506	1924	1871
507	1927	1866
5508	1929	1861509	1921	1846
510	1936	1853
511	1927	1836
512	1930	1832
513	1933	1828
514	1938	1825
515	1941	1821
516	1944	1817
517	1949	1813
518	1953	1810
519	1956	1805
520	1959	1801
521	1963	1797
522	1967	1794
523	1986	1804
524	1994	1804
525	1984	1787
526	2005	1799
527	2009	1796
528	2012	1791
529	2017	1789
530	2007	1773
531	2010	1768
532	2013	1764
533	2035	1776
534	2038	1771
535	2042	1767
536	2046	1764
537	2049	1760
538	2053	1756
539	2056	1751
540	2060	1748
541	2064	1744
542	2067	1740
543	2070	1735
544	2074	1731
545	2077	1727
546	2080	1723
547	2083	1718
548	2086	1714
549	2091	1710
550	2094	1706
551	2097	1702
552	2100	1698
553	2103	1693
554	2106	1689
555	2109	1684
556	2112	1680
557	2115	1675
558	2119	1672
559	2122	1667
560	2125	1663
561	2128	1658
562	2133	1656
563	2137	1652
564	2140	1648
565	2143	1643
566	2147	1640
567	2150	1635
568	2153	1631
569	2156	1626
570	2159	1622
571	2164	1619
572	2167	1614
573	2170	1610
574	2173	1606
575	2176	1602
576	2179	1597
577	2181	1592
578	2184	1588
579	2187	1584
580	2191	1580
581	2195	1576
582	2199	1572
583	2202	1568
584	2205	1564
585	2208	1560
586	2211	1556
587	2214	1551
588	2218	1548
589	2221	1543
590	2224	1539
591	2227	1535
592	2231	1531
593	2234	1527
594	2237	1523
595	2240	1518
596	2243	1514
597	2246	1510
598	2249	1506
599	2252	1501
600	2255	1497
601	2259	1493
602	2262	1489
603	2265	1485
604	2268	1480
605	2271	1476
606	2275	1473
607	2278	1469
608	2281	1465
609	2284	1460
610	2288	1456
611	2290	1452
612	2294	1448
613	2296	1444
614	2273	1423
615	2304	1436
616	2307	1432
617	2283	1411
618	2286	1407
619	2289	1403
620	2292	1399
621	2295	1395
622	2300	1391
623	2303	1388
624	2306	1383
625	2309	1379
626	2312	1375
627	2315	1371
628	2318	1367
629	2321	1363
630	2324	1359
631	2328	1356
632	2331	1351
633	2334	1347
634	2337	1343
635	2342	1340
636	2345	1336
637	2348	1332
638	2351	1328
639	2355	1325
640	2358	1321
641	2361	1317
642	2364	1313
643	2368	1309
644	2371	1305
645	2374	1301
646	2377	1297
647	2382	1294
648	2384	1289
649	2388	1286
650	2391	1281
651	2394	1277
652	2397	1273
653	2399	1269
654	2403	1265
655	2406	1261
656	2411	1258
657	2413	1254
658	2416	1250
659	2419	1246
660	2424	1243
661	2427	1239
662	2430	1235
663	2433	1231
664	2437	1227
665	2440	1224
666	2443	1219
667	2446	1215
668	2449	1211
669	2453	1208
670	2456	1204
671	2459	1200
672	2461	1196
673	2466	1192
674	2469	1189
675	2472	1185
676	2475	1181
677	2478	1177
678	2481	1173
679	2485	1169
680	2488	1165
681	2491	1161
682	2496	1158
683	2499	1154
684	2502	1150
685	2505	1146
686	2510	1143
687	2513	1139
688	2516	1135
689	2520	1132
690	2525	1129
691	2528	1125
692	2531	1121
693	2535	1117
694	2538	1113
695	2541	1110
696	2544	1106
697	2547	1102
698	2550	1098
699	2555	1095
700	2558	1091
701	2592	1100
702	2595	1096
703	2568	1080
704	2572	1076
705	2575	1072
706	2578	1068
707	2581	1064
708	2585	1060
709	2587	1056
710	2589	1052
711	2592	1048
712	2630	1058
713	2633	1054
714	2636	1050
715	2639	1047
716	2644	1043
717	2646	1039
718	2649	1035
719	2652	1031
720	2656	1028
721	2660	1024
722	2663	1020
723	2665	1016
724	2668	10127725	2673	10072726	2676	10727727	2679	1728	728	2681	729	729	2686	730	730	2689	731	731	2692	732	732	2695	733	733	2698	734	734	2702	735	735	2705	736	736	2708	737	737	2710	738	738	2715	739	739	2718	740	740	2720	741	741	2723	742	742	2728	743	743	2731	940
744	2735	936
745	2737	932
746	2740	928
747	2743	748	748	2746	749	749	2749	916
750	2752	751	751	2757	752	752	2759	753	753	2762	754	754	2765	755	755	2769	756	756	2772	757	757	2775	758	758	2778	759	759	2781	760	760	2785	761	761	2788	762	762	2791	763	763	2794	764	764	2798	765	765	2801	766	766	2804	767	767	2807	768	768	2811	769	769	2814	770	770	2817	771	771	2819	772	772	2822	773	773	2826	774	774	2830	775	775	2833	776	776	2835	777	777	2839	778	778	2843	779	779	2845	780	2822	791
781	781	2852	782	782	2856	783	783	2860	784	784	2863	785	785	2866	786	786	2871	787	787	2873	788	788	2876	789	789	2878	790	790	2881	791	791	2885	792	792	2888	793	793	2890	794	794	2893	795	2868	735
796	2872	731
797	2875	727
798	2878	724
799	2881	720
800	2884	716
801	2887	712
802	2890	709
803	2893	705
804	2896	701
805	2901	698
806	2903	694
807	2906	690
808	2910	687
809	2914	683
810	2917	679
811	2919	676
812	812	2951	813	813	2954	814	814	2957	815	815	2960	816	816	2964	817	817	2967	818	818	2969	819	819	2972	820	820	2975	821	821	2978	822	822	2982	823	823	2985	824	824	2988	825	825	2991	826	826	2994	827	827	2998	828	828	3001	829	829	3004	830	830	3007	831	831	3010	832	832	3014	833	833	3016	834	834	3019	835	835	3023	836	836	3026	837	837	3029	838	838	3032	839	839	3035	840	840	3038	841	841	3041	842	842	3045	843	843	3048	844	844	3052	845	845	3055	846	846	3058	847	847	3062	848	848	3067	849	849	3070	850	850	3072	851	851	3075	852	852	3081	853	853	3084	854	854	3088	855	855	3090	856	856	3096	857	857	3100	858	858	3103	859	859	3105	860	860	3110	861	861	3114	862	862	3119	863	863	3123	864	864	3125	865	865	3128	866	866	3131	867	867	3133	868	3110	468
869	3113	465
870	3116	461
871	3120	458
872	3123	454
873	3126	450
874	3129	447
875	3133	443
876	3136	439
877	3142	436
878	3144	432
879	3147	429
880	3150	425
881	3158	422
882	882	3191	883	883	3197	884	3174	412
885	3177	408
886	3180	405
887	3185	401
888	3189	398
889	3192	394
890	3195	390
891	3199	387
892	3202	383
893	3206	380
894	3209	376
895	3214	373
896	3217	369
897	3220	365
898	3223	362
899	3228	358
900	3231	355
901	3233	351
902	3237	347
903	3240	344
904	3243	340
905	3247	336
906	3250	333
907	3253	329
908	3257	326
909	3259	322
910	3263	318
911	3266	315
912	3271	311
913	3274	308
914	3277	304
915	3280	300
916	3284	297
917	3287	293
918	3290	290
919	3293	286
920	3297	282
921	3300	279
922	3303	275
923	3306	271
924	3310	268
925	3312	264
926	3315	261
927	3318	257
928	928	3357	929	929	3363	930	930	3366	931	931	3369	932	932	3372	933	933	3375	934	934	3379	935	935	3382	231
936	3385	227
937	3390	224
938	3393	220
939	3396	216
940	3399	213
941	3403	209
942	3406	205
943	3409	202
944	3412	198
945	3415	194
946	3420	947	947	3422	948	948	3425	949	949	3428	950	950	3432	951	951	3436	173
952	3439	169
953	3442	165
954	3446	162
955	3449	158
956	3452	155
957	3455	151
958	3458	147
959	3463	144
960	3466	140
961	3469	137
962	3471	133
963	3476	129
964	3479	126
965	3482	122
966	3485	118
967	3487	115
968	3490	111
969	3493	108
970	3496	104
971	3499	100
972	3503	97
973	3506	93
974	3510	90
975	3513	86
976	3515	82
977	3519	79
978	3523	75
979	3527	71
980	3531	68
981	3534	64
982	353983	3983	3540	57
984	3545	53
985	3548	50
986	3552	46
987	3555	43
988	3559	39
989	3563	35
990	3566	32
991	3570	28
992	3576	25
993	3578	21
994	3581	17
995	358996	3996	358997	3997	3592	7
998	3597	3
999	3600	0
